"","text","score"
"78","good morning <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E65>",1
"79","firmino is really",0
"80","big thanks to the club where it all started won’t forget the fans the team and everything they’ve done for me t…",1
"81","amazing shoot with sprooscreatives amp adidasph <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+613C><U+3E66> 
 …",1
"82","super proud to be apart of this amazing team <U+2764><U+FE0F> disappointed we couldn’t get the win last night but we will bo…",3
"83","ready in sevilla",1
"84","lace up like leo 
the ultimate stage awaits",1
"85","will be running with in the",0
"86","e cardiology in …",0
"87","e cardiology in…",0
"88","ready to create",1
"89","e cardiology …",0
"90","all black everything 
the new nite crawler tango available now",1
"91","new set of wheels for an early midday kickoff for today courtesy of and the…",0
"92","we don’t try to be someone else we carve our own path the are",0
"93","recognize athletes for what matters most creativity",0
"94","road to kiev 
introducing the new official match ball of the knock out phase 
 https…",-1
"95","clean classic colors <U+26AA><U+FE0F><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E34><U+623C><U+3E34><U+26AB><U+FE0F>
cold blooded 
available now",3
"96","we can always do better <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E65>",1
"97","i need the fastest boots in the game always love this new colour <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E35><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E63><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E63>",2
"98","speed power skill non stop",1
"99","<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E35>new nemeziz mid tr pack in black amp olive color ways<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E35>
—
now available in limited quantities at …",0
"100","coldblooded <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+613C><U+3E35><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E63><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+393C><U+3E66>",0
"101","merci to everybody who was there for me during my recovery merci to all the fans this one’s for you <U+2764><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E65> al hamdullilah <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E66><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E65>…",2
"102","great memories and time to make new ones is back <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E35><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+393C><U+3E66>",1
"103","mission accomplished onto the next round <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E65>very happy for our victory disappointed to not play on sunday but we focus on t…",2
"104","happy with the result <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E65>",1
"105","you have to go 
through
the worst 
to get
the best 

 …",0
"106","aime <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E64>",0
"107","had to add a lil flavor to the nbhd iniki 
 
 
 
 
 …",0
"108","rocking it with",0
"109","when only the miles matter 
all we see is creativity",0
"110","recognise athletes for what matters most creativity",0
"111","am par on feet on this friiiidaayyy …",0
"112","next stop management of stay tuned for an announcement",0
